,fluxes,minimum,maximum
EX_X_pi_t_me_1,0.0,,
EX_X_pi_t_me_2,0.0,,
EX_X_pi_t_me_3,0.0,,
EX_X_pi_t_me_4,0.0,,
EX_X_pi_t_gc_1,0.0,,
EX_X_pi_t_gc_2,0.0,,
EX_X_pi_t_gc_3,0.0,,
EX_X_pi_t_gc_4,0.0,,
EX_X_CO2_t_me_1,1.9822592278357265,,
EX_X_CO2_t_me_2,-55.42632771833555,,
EX_X_CO2_t_me_3,-55.35238907179728,,
EX_X_CO2_t_me_4,2.0097541292088117,,
EX_X_CO2_t_gc_1,0.0015651002562885469,,
EX_X_CO2_t_gc_2,0.003378197115932439,,
EX_X_CO2_t_gc_3,0.0015678843752397744,,
EX_X_CO2_t_gc_4,0.0015651002562885419,,
EX_X_Mg_t_me_1,0.0,,
EX_X_Mg_t_me_2,0.0,,
EX_X_Mg_t_me_3,0.0,,
EX_X_Mg_t_me_4,0.0,,
EX_X_Mg_t_gc_1,0.0,,
EX_X_Mg_t_gc_2,0.0,,
EX_X_Mg_t_gc_3,0.0,,
EX_X_Mg_t_gc_4,0.0,,
EX_X_SO4_t_me_1,0.0,,
EX_X_SO4_t_me_2,0.0,,
EX_X_SO4_t_me_3,0.0,,
EX_X_SO4_t_me_4,0.0,,
EX_X_SO4_t_gc_1,0.0,,
EX_X_SO4_t_gc_2,0.0,,
EX_X_SO4_t_gc_3,0.0,,
EX_X_SO4_t_gc_4,0.0,,
EX_X_GLC_t_me_1,0.0,,
EX_X_GLC_t_me_2,0.0,,
EX_X_GLC_t_me_3,0.0,,
EX_X_GLC_t_me_4,0.0,,
EX_X_GLC_t_gc_1,0.0,,
EX_X_GLC_t_gc_2,0.0,,
EX_X_GLC_t_gc_3,0.0,,
EX_X_GLC_t_gc_4,0.0,,
EX_X_NITRATE_t_me_1,0.0,,
EX_X_NITRATE_t_me_2,0.0,,
EX_X_NITRATE_t_me_3,0.0,,
EX_X_NITRATE_t_me_4,0.0,,
EX_X_NITRATE_t_gc_1,0.0,,
EX_X_NITRATE_t_gc_2,0.0,,
EX_X_NITRATE_t_gc_3,0.0,,
EX_X_NITRATE_t_gc_4,0.0,,
EX_X_Ca_t_me_1,0.0,,
EX_X_Ca_t_me_2,0.0,,
EX_X_Ca_t_me_3,0.0,,
EX_X_Ca_t_me_4,0.0,,
EX_X_Ca_t_gc_1,0.0,,
EX_X_Ca_t_gc_2,0.0,,
EX_X_Ca_t_gc_3,0.0,,
EX_X_Ca_t_gc_4,0.0,,
EX_X_H_t_me_1,0.0,,
EX_X_H_t_me_2,0.0,,
EX_X_H_t_me_3,0.0,,
EX_X_H_t_me_4,0.0,,
EX_X_H_t_gc_1,0.0,,
EX_X_H_t_gc_2,0.0,,
EX_X_H_t_gc_3,0.0,,
EX_X_H_t_gc_4,0.0,,
EX_X_NH4_t_me_1,0.0,,
EX_X_NH4_t_me_2,0.0,,
EX_X_NH4_t_me_3,0.0,,
EX_X_NH4_t_me_4,0.0,,
EX_X_NH4_t_gc_1,0.0,,
EX_X_NH4_t_gc_2,0.0,,
EX_X_NH4_t_gc_3,0.0,,
EX_X_NH4_t_gc_4,0.0,,
EX_X_H2O_t_me_1,0.0,,
EX_X_H2O_t_me_2,0.0,,
EX_X_H2O_t_me_3,0.0,,
EX_X_H2O_t_me_4,0.0,,
EX_X_H2O_t_gc_1,0.0,,
EX_X_H2O_t_gc_2,0.0,,
EX_X_H2O_t_gc_3,0.0,,
EX_X_H2O_t_gc_4,0.0,,
EX_X_Biomass_t_me_1,0.0,,
EX_X_Biomass_t_me_2,0.0,,
EX_X_Biomass_t_me_3,0.0,,
EX_X_Biomass_t_me_4,0.0,,
EX_X_Biomass_t_gc_1,0.0,,
EX_X_Biomass_t_gc_2,0.0,,
EX_X_Biomass_t_gc_3,0.0,,
EX_X_Biomass_t_gc_4,0.0,,
EX_Palmitate_b_me_1,0.0,,
EX_Palmitate_b_me_2,0.0,,
EX_Palmitate_b_me_3,0.0,,
EX_Palmitate_b_me_4,-2.6985458609602875e-19,,
EX_Palmitate_b_gc_1,3.444041980424448e-18,,
EX_Palmitate_b_gc_2,0.0,,
EX_Palmitate_b_gc_3,4.208040583632117e-18,,
EX_Palmitate_b_gc_4,0.0,,
EX_X_K_t_me_1,0.0,,
EX_X_K_t_me_2,0.0,,
EX_X_K_t_me_3,0.0,,
EX_X_K_t_me_4,0.0,,
EX_X_K_t_gc_1,0.0,,
EX_X_K_t_gc_2,0.0,,
EX_X_K_t_gc_3,0.0,,
EX_X_K_t_gc_4,0.0,,
EX_X_Sucrose_t_me_1,0.0,,
EX_X_Sucrose_t_me_2,0.0,,
EX_X_Sucrose_t_me_3,0.0,,
EX_X_Sucrose_t_me_4,0.0,,
EX_X_Sucrose_t_gc_1,0.0,,
EX_X_Sucrose_t_gc_2,0.0,,
EX_X_Sucrose_t_gc_3,0.0,,
EX_X_Sucrose_t_gc_4,0.0,,
EX_X_Phloem_contribution_t_me_1,1.32362292362184,,
EX_X_Phloem_contribution_t_me_2,3.9708687708655197,,
EX_X_Phloem_contribution_t_me_3,3.9708687708655197,,
EX_X_Phloem_contribution_t_me_4,1.32362292362184,,
EX_X_Phloem_contribution_t_gc_1,0.0,,
EX_X_Phloem_contribution_t_gc_2,0.0,,
EX_X_Phloem_contribution_t_gc_3,0.0,,
EX_X_Phloem_contribution_t_gc_4,0.0,,
EX_X_O2_t_me_1,-1.940577274832976,,
EX_X_O2_t_me_2,55.884952980121284,,
EX_X_O2_t_me_3,55.91379539345129,,
EX_X_O2_t_me_4,-1.9504218144702707,,
EX_X_O2_t_gc_1,-0.0015651002562885477,,
EX_X_O2_t_gc_2,-0.003232807082915223,,
EX_X_O2_t_gc_3,-0.0015742056810231317,,
EX_X_O2_t_gc_4,-0.001565100256288545,,
EX_X_Photon_t_me_1,0.0,,
EX_X_Photon_t_me_2,-485.90835872086404,,
EX_X_Photon_t_me_3,-485.90835872086393,,
EX_X_Photon_t_me_4,0.0,,
EX_X_Photon_t_gc_1,0.0,,
EX_X_Photon_t_gc_2,0.0,,
EX_X_Photon_t_gc_3,0.0,,
EX_X_Photon_t_gc_4,0.0,,
PRO_PROTON_vc_me_1,0.0,,
PRO_PROTON_vc_me_2,0.0,,
PRO_PROTON_vc_me_3,0.0005782557275289643,,
PRO_PROTON_vc_me_4,0.0,,
PRO_PROTON_vc_gc_1,0.0,,
PRO_PROTON_vc_gc_2,0.0,,
PRO_PROTON_vc_gc_3,0.0,,
PRO_PROTON_vc_gc_4,0.0,,
H2O_xc_me_1,7.378509379296485e-19,,
H2O_xc_me_2,0.0,,
H2O_xc_me_3,1.0576948012702692e-17,,
H2O_xc_me_4,-6.036244705233286e-16,,
H2O_xc_gc_1,0.0,,
H2O_xc_gc_2,0.0,,
H2O_xc_gc_3,0.0,,
H2O_xc_gc_4,3.444217502831434e-19,,
sCIT_biomass_me_1,0.0,,
sCIT_biomass_me_2,0.0,,
sCIT_biomass_me_3,0.0,,
sCIT_biomass_me_4,0.0,,
sCIT_biomass_gc_1,0.0,,
sCIT_biomass_gc_2,0.0,,
sCIT_biomass_gc_3,0.0,,
sCIT_biomass_gc_4,0.0,,
ACETYLGLUTKIN_RXN_p_me_1,0.0,,
ACETYLGLUTKIN_RXN_p_me_2,0.0016624852166457762,,
ACETYLGLUTKIN_RXN_p_me_3,0.0022407409441747394,,
ACETYLGLUTKIN_RXN_p_me_4,0.0,,
ACETYLGLUTKIN_RXN_p_gc_1,0.0,,
ACETYLGLUTKIN_RXN_p_gc_2,0.0,,
ACETYLGLUTKIN_RXN_p_gc_3,-7.877575613906066e-20,,
ACETYLGLUTKIN_RXN_p_gc_4,1.5098686593319997e-19,,
2KG_OAA_mc_me_1,0.0,,
2KG_OAA_mc_me_2,0.0,,
2KG_OAA_mc_me_3,0.0,,
2KG_OAA_mc_me_4,0.0,,
2KG_OAA_mc_gc_1,-0.00031335881754694964,,
2KG_OAA_mc_gc_2,0.0,,
2KG_OAA_mc_gc_3,-0.0002688844497201229,,
2KG_OAA_mc_gc_4,-0.0003133588175469468,,
LEUCINE_TRNA_LIGASE_RXN_c_me_1,0.0,,
LEUCINE_TRNA_LIGASE_RXN_c_me_2,0.0,,
LEUCINE_TRNA_LIGASE_RXN_c_me_3,0.0,,
LEUCINE_TRNA_LIGASE_RXN_c_me_4,0.0,,
LEUCINE_TRNA_LIGASE_RXN_c_gc_1,0.0,,
LEUCINE_TRNA_LIGASE_RXN_c_gc_2,0.0,,
LEUCINE_TRNA_LIGASE_RXN_c_gc_3,0.0,,
LEUCINE_TRNA_LIGASE_RXN_c_gc_4,0.0,,
DIAMINOPIMDECARB_RXN_p_me_1,0.0,,
DIAMINOPIMDECARB_RXN_p_me_2,0.0088066793249647,,
DIAMINOPIMDECARB_RXN_p_me_3,0.011869872133648143,,
DIAMINOPIMDECARB_RXN_p_me_4,0.0,,
DIAMINOPIMDECARB_RXN_p_gc_1,0.0,,
DIAMINOPIMDECARB_RXN_p_gc_2,0.0,,
DIAMINOPIMDECARB_RXN_p_gc_3,0.0,,
DIAMINOPIMDECARB_RXN_p_gc_4,0.0,,
ASPARTATE_TRNA_LIGASE_RXN_c_me_1,0.0,,
ASPARTATE_TRNA_LIGASE_RXN_c_me_2,0.0,,
ASPARTATE_TRNA_LIGASE_RXN_c_me_3,0.0,,
ASPARTATE_TRNA_LIGASE_RXN_c_me_4,0.0,,
ASPARTATE_TRNA_LIGASE_RXN_c_gc_1,0.0,,
ASPARTATE_TRNA_LIGASE_RXN_c_gc_2,0.0,,
ASPARTATE_TRNA_LIGASE_RXN_c_gc_3,0.0,,
ASPARTATE_TRNA_LIGASE_RXN_c_gc_4,0.0,,
F16ALDOLASE_RXN_p_me_1,0.023065112631226656,,
F16ALDOLASE_RXN_p_me_2,-18.480468791853713,,
F16ALDOLASE_RXN_p_me_3,-18.624402371287005,,
F16ALDOLASE_RXN_p_me_4,0.03582581232840411,,
F16ALDOLASE_RXN_p_gc_1,-4.602461981586369e-19,,
F16ALDOLASE_RXN_p_gc_2,0.0,,
F16ALDOLASE_RXN_p_gc_3,0.0,,
F16ALDOLASE_RXN_p_gc_4,0.0,,
RXN_7978_p_me_1,0.0,,
RXN_7978_p_me_2,0.0,,
RXN_7978_p_me_3,0.0,,
RXN_7978_p_me_4,0.0,,
RXN_7978_p_gc_1,0.0,,
RXN_7978_p_gc_2,0.0,,
RXN_7978_p_gc_3,0.0,,
RXN_7978_p_gc_4,0.0,,
Photon_tx_me_1,0.0,,
Photon_tx_me_2,485.908358720864,,
Photon_tx_me_3,485.908358720864,,
Photon_tx_me_4,0.0,,
Photon_tx_gc_1,0.0,,
Photon_tx_gc_2,0.0,,
Photon_tx_gc_3,0.0,,
Photon_tx_gc_4,0.0,,
2_METHYL_ACETO_ACETYL_COA_xc_me_1,0.0,,
2_METHYL_ACETO_ACETYL_COA_xc_me_2,0.0,,
2_METHYL_ACETO_ACETYL_COA_xc_me_3,-4.057136543879215e-18,,
2_METHYL_ACETO_ACETYL_COA_xc_me_4,0.0,,
2_METHYL_ACETO_ACETYL_COA_xc_gc_1,0.0,,
2_METHYL_ACETO_ACETYL_COA_xc_gc_2,0.0,,
2_METHYL_ACETO_ACETYL_COA_xc_gc_3,0.0,,
2_METHYL_ACETO_ACETYL_COA_xc_gc_4,-5.740362504719054e-20,,
F16ALDOLASE_RXN_c_me_1,0.11343534737000735,,
F16ALDOLASE_RXN_c_me_2,-8.970071276923905,,
F16ALDOLASE_RXN_c_me_3,-8.720801349444402,,
F16ALDOLASE_RXN_c_me_4,0.11586808238803314,,
F16ALDOLASE_RXN_c_gc_1,5.2508774832190846e-05,,
F16ALDOLASE_RXN_c_gc_2,0.00046610616397726285,,
F16ALDOLASE_RXN_c_gc_3,5.6529765671933374e-05,,
F16ALDOLASE_RXN_c_gc_4,5.2508774832190724e-05,,
RXN_9532_p_me_1,0.0,,
RXN_9532_p_me_2,0.0,,
RXN_9532_p_me_3,0.0,,
RXN_9532_p_me_4,-2.6985458609602875e-19,,
RXN_9532_p_gc_1,-1.13494644473625e-19,,
RXN_9532_p_gc_2,0.0,,
RXN_9532_p_gc_3,2.960729855833689e-20,,
RXN_9532_p_gc_4,0.0,,
RXN_5642_c_me_1,0.0,,
RXN_5642_c_me_2,0.0,,
RXN_5642_c_me_3,0.0,,
RXN_5642_c_me_4,0.0,,
RXN_5642_c_gc_1,0.0,,
RXN_5642_c_gc_2,0.0,,
RXN_5642_c_gc_3,4.608992743398256e-19,,
RXN_5642_c_gc_4,0.0,,
L_ASCORBATE_PEROXIDASE_RXN_p_me_1,0.0,,
L_ASCORBATE_PEROXIDASE_RXN_p_me_2,0.0,,
L_ASCORBATE_PEROXIDASE_RXN_p_me_3,0.0,,
L_ASCORBATE_PEROXIDASE_RXN_p_me_4,0.0,,
L_ASCORBATE_PEROXIDASE_RXN_p_gc_1,0.0,,
L_ASCORBATE_PEROXIDASE_RXN_p_gc_2,0.0,,
L_ASCORBATE_PEROXIDASE_RXN_p_gc_3,0.0,,
L_ASCORBATE_PEROXIDASE_RXN_p_gc_4,0.0,,
L_ASCORBATE_PEROXIDASE_RXN_m_me_1,0.0,,
L_ASCORBATE_PEROXIDASE_RXN_m_me_2,0.0,,
L_ASCORBATE_PEROXIDASE_RXN_m_me_3,0.0,,
L_ASCORBATE_PEROXIDASE_RXN_m_me_4,0.0,,
L_ASCORBATE_PEROXIDASE_RXN_m_gc_1,0.0,,
L_ASCORBATE_PEROXIDASE_RXN_m_gc_2,0.0,,
L_ASCORBATE_PEROXIDASE_RXN_m_gc_3,0.0,,
L_ASCORBATE_PEROXIDASE_RXN_m_gc_4,0.0,,
SER_PROTON_vc_me_1,0.0,,
SER_PROTON_vc_me_2,0.0,,
SER_PROTON_vc_me_3,0.0,,
SER_PROTON_vc_me_4,0.0,,
SER_PROTON_vc_gc_1,0.0,,
SER_PROTON_vc_gc_2,0.0,,
SER_PROTON_vc_gc_3,0.0,,
SER_PROTON_vc_gc_4,0.0,,
PYRUVATE_PROTON_mc_me_1,-0.5095749146608998,,
PYRUVATE_PROTON_mc_me_2,0.0,,
PYRUVATE_PROTON_mc_me_3,-1.1429725941510647e-17,,
PYRUVATE_PROTON_mc_me_4,-0.5624481225901855,,
PYRUVATE_PROTON_mc_gc_1,-0.000313358817546949,,
PYRUVATE_PROTON_mc_gc_2,0.0,,
PYRUVATE_PROTON_mc_gc_3,-0.00036258900284809944,,
PYRUVATE_PROTON_mc_gc_4,-0.00031335881754694834,,
NADH_DEHYDROG_A_RXN_mi_me_1,1.8026610774094904,,
NADH_DEHYDROG_A_RXN_mi_me_2,7.985166734062686,,
NADH_DEHYDROG_A_RXN_mi_me_3,7.927481907402673,,
NADH_DEHYDROG_A_RXN_mi_me_4,1.8875583391792543,,
NADH_DEHYDROG_A_RXN_mi_gc_1,0.0012534352701877973,,
NADH_DEHYDROG_A_RXN_mi_gc_2,0.0027470030190446183,,
NADH_DEHYDROG_A_RXN_mi_gc_3,0.001316120487483791,,
NADH_DEHYDROG_A_RXN_mi_gc_4,0.0012534352701877955,,
L_ALPHA_ALANINE_PROTON_vc_me_1,0.0,,
